gender,state_type,income_bracket,caste_category,language,loan_amount,credit_score,approved
Male,Urban,Low,General,English,1772560,772,0
Male,Remote,Low,General,Regional,1083668,641,0
Male,Rural,Low,OBC,Hindi,875626,596,0
Male,Urban,High,OBC,English,1470623,750,0
Female,Urban,Low,OBC,Hindi,1492181,604,0
Male,Urban,Low,SC,English,1460023,710,0
Male,Urban,Low,OBC,English,292188,786,0
Male,Rural,Low,General,Regional,426047,608,1
Female,Remote,Low,OBC,Hindi,903823,696,0
Male,Urban,Medium,ST,Regional,287501,739,0
Male,Urban,Medium,SC,Hindi,1418722,605,1
Male,Rural,Low,OBC,Regional,347675,703,0
Female,Urban,Low,General,English,758175,723,0
Male,Urban,Low,OBC,Hindi,1627850,604,0
Female,Rural,Low,SC,Regional,1917306,633,0
Female,Remote,Medium,SC,Regional,313625,735,0
Male,Rural,Medium,OBC,Hindi,892840,652,0
Female,Urban,Low,SC,Hindi,250339,699,0
Male,Rural,Medium,SC,Regional,1744814,635,0
Female,Urban,Low,General,Hindi,984339,644,0
Female,Remote,High,OBC,Regional,175355,672,0
Male,Urban,Medium,General,Regional,77798,665,0
Male,Rural,Medium,General,English,665937,659,0
Female,Rural,Low,SC,English,1425607,748,0
Male,Rural,High,OBC,Hindi,69477,687,1
Male,Rural,Low,OBC,English,1509058,758,0
Male,Rural,Low,General,Hindi,267400,697,0
Female,Remote,Low,OBC,Regional,1315636,778,0
Female,Urban,Low,General,Hindi,439959,785,0
Male,Urban,High,General,Regional,1609757,736,0
Male,Rural,Medium,OBC,Hindi,1606407,662,1
Male,Rural,Low,General,Hindi,1074374,726,0
Female,Urban,Medium,OBC,English,455105,773,0
Male,Remote,High,General,Hindi,1385055,748,1
Female,Rural,High,General,Hindi,1447330,752,0
Male,Urban,Medium,General,Hindi,323586,594,0
Female,Urban,High,OBC,Regional,1931297,710,0
Male,Urban,High,OBC,Hindi,1938755,718,0
Male,Urban,Medium,OBC,Hindi,873759,760,0
Male,Rural,Low,OBC,Hindi,983703,753,0
Female,Urban,Medium,SC,English,384971,609,0
Female,Urban,High,General,Hindi,1729328,636,0
Male,Remote,Low,OBC,English,181184,725,0
Female,Rural,High,SC,English,1185627,758,0
Female,Urban,Low,OBC,English,200653,707,0
Female,Rural,Low,OBC,Hindi,295300,627,0
Male,Urban,Low,ST,Regional,634010,773,0
Male,Rural,Low,SC,Hindi,142036,715,0
Male,Urban,High,General,Hindi,1851498,601,1
Female,Remote,High,OBC,Hindi,197595,585,0
Female,Urban,High,OBC,English,903392,783,1
Female,Rural,Medium,OBC,Regional,1871573,764,0
Male,Urban,Low,OBC,Hindi,331696,683,0
Male,Urban,Medium,OBC,Hindi,1615188,615,0
Female,Rural,Medium,OBC,Hindi,1240456,658,0
Female,Rural,Medium,OBC,English,285419,799,0
Female,Urban,Low,SC,Hindi,1040029,695,0
Female,Urban,Medium,OBC,Hindi,204692,636,0
Female,Remote,Medium,General,Regional,313031,628,0
Male,Rural,High,OBC,English,343946,752,1
Male,Urban,High,General,Hindi,1707888,661,1
Female,Urban,Medium,OBC,Hindi,538765,645,0
Female,Rural,Medium,OBC,English,1868673,656,0
Male,Rural,Medium,General,Hindi,692927,624,1
Male,Remote,Low,OBC,Regional,1704802,658,0
Female,Remote,High,General,Regional,1316389,599,1
Male,Urban,High,General,Hindi,1874964,771,0
Male,Urban,Medium,OBC,Regional,1483466,702,0
Male,Remote,Low,OBC,Regional,1911057,646,0
Female,Remote,Low,ST,Regional,1438509,662,0
Female,Rural,Medium,OBC,English,1707390,582,0
Male,Rural,Low,OBC,Regional,451062,761,1
Female,Urban,High,OBC,Hindi,533779,785,1
Male,Rural,Low,General,Regional,547952,643,0
Male,Rural,Low,ST,Hindi,620508,619,0
Female,Remote,High,OBC,English,882595,638,1
Female,Rural,Medium,SC,Regional,446981,762,0
Female,Urban,Low,General,Hindi,429270,641,0
Female,Rural,Low,OBC,Regional,1966494,711,0
Female,Rural,Low,OBC,Regional,1173853,639,0
Male,Rural,Medium,SC,Hindi,1055782,695,1
Male,Rural,Low,General,English,1618146,654,1
Male,Urban,Medium,OBC,Hindi,533455,701,1
Male,Rural,High,ST,English,1989253,686,0
Female,Urban,Low,OBC,English,172332,675,0
Male,Urban,High,OBC,Regional,1332807,670,1
Female,Rural,High,General,English,597219,737,0
Female,Urban,Low,ST,Hindi,139116,709,0
Female,Rural,High,General,Regional,301671,641,0
Male,Remote,Medium,SC,Hindi,1940641,628,0
Female,Rural,High,SC,Hindi,1572494,716,1
Male,Remote,Medium,General,Regional,1674777,671,0
Male,Urban,Medium,OBC,English,824504,738,0
Female,Rural,Medium,General,Regional,1717640,703,0
Male,Rural,High,General,Regional,1124567,640,1
Male,Rural,Medium,SC,Regional,564265,786,0
Female,Urban,Medium,SC,Hindi,1808781,627,0
Male,Rural,High,OBC,Hindi,678380,732,0
Female,Urban,Low,OBC,Hindi,279577,743,0
Female,Rural,Low,General,Regional,760672,715,0
Female,Urban,Low,General,Regional,453777,780,0
Male,Urban,Low,General,Hindi,1859977,637,0
Male,Remote,Low,General,English,145556,680,0
Female,Rural,High,OBC,English,1947883,691,0
Male,Rural,Low,OBC,English,1255565,752,1
Female,Remote,Medium,OBC,Regional,1422840,641,0
Female,Rural,Low,General,Hindi,445204,618,0
Female,Rural,High,OBC,Regional,1605537,637,0
Male,Urban,High,SC,Regional,1995049,788,0
Male,Urban,Medium,General,English,702755,678,1
Female,Urban,High,ST,Hindi,1619192,790,1
Male,Remote,Low,SC,Hindi,1506048,771,0
Male,Urban,High,General,Hindi,1479210,623,1
Female,Rural,Low,SC,Regional,793088,608,0
Female,Urban,High,OBC,Regional,700443,638,0
Female,Remote,Low,OBC,Regional,1388950,650,0
Female,Urban,Medium,OBC,Hindi,548682,671,0
Male,Rural,Medium,OBC,English,109778,588,1
Female,Urban,Low,OBC,Regional,1144409,706,0
Female,Remote,Low,OBC,English,859057,799,0
Male,Urban,Low,OBC,Hindi,606376,713,1
Male,Urban,Low,OBC,English,1833586,736,0
Female,Urban,Medium,OBC,Hindi,1464657,765,0
Female,Rural,Low,SC,English,1563083,724,0
Female,Rural,Low,General,Hindi,1294951,723,0
Female,Urban,Low,General,Regional,126361,794,0
Male,Remote,High,SC,English,1448949,710,0
Male,Rural,Low,OBC,English,1233765,600,0
Female,Rural,Low,General,Hindi,1713129,643,0
Female,Urban,Low,General,Regional,572154,669,0
Female,Remote,Medium,General,English,672006,615,0
Female,Rural,High,ST,Hindi,1421430,793,0
Male,Urban,Low,OBC,English,1061930,641,0
Male,Urban,Low,ST,Regional,1717740,749,0
Female,Rural,Medium,OBC,Hindi,1034558,655,1
Female,Rural,Medium,OBC,Regional,1129525,749,0
Female,Rural,Low,OBC,Regional,1835818,768,0
Female,Urban,Medium,OBC,English,904568,592,1
Female,Rural,High,General,Regional,1210117,590,0
Male,Remote,Low,SC,English,1818555,633,0
Male,Rural,Medium,SC,Regional,111842,595,0
Male,Urban,Medium,OBC,Hindi,538019,587,1
Female,Remote,Medium,ST,Regional,1331506,683,0
Male,Rural,Low,SC,English,339134,638,0
Male,Rural,Low,OBC,English,721553,636,1
Male,Remote,High,General,Hindi,1390829,619,0
Male,Remote,High,OBC,Hindi,180356,766,0
Female,Remote,Medium,OBC,English,818917,709,0
Male,Rural,Medium,General,Hindi,787090,673,0
Male,Rural,Medium,General,English,964565,783,0
Female,Urban,Medium,SC,Hindi,1788446,717,0
Male,Rural,Low,General,Regional,837738,623,0
Male,Urban,Low,OBC,Hindi,1102425,718,1
Male,Remote,High,ST,English,62360,786,0
Female,Urban,Low,SC,Hindi,423216,659,0
Male,Urban,High,General,English,827567,660,1
Female,Urban,Low,SC,Regional,669055,797,0
Male,Rural,Low,General,English,311445,581,0
Male,Remote,Low,General,Regional,1799736,757,0
Male,Urban,Medium,OBC,Regional,1620234,719,0
Male,Urban,High,OBC,Regional,480179,694,0
Female,Urban,Low,OBC,Hindi,104330,669,0
Female,Urban,High,OBC,Regional,101707,602,0
Female,Urban,Medium,General,Regional,330833,725,0
Male,Urban,High,General,Hindi,1651948,641,1
Male,Remote,Low,OBC,Hindi,1138963,692,0
Female,Rural,High,SC,Hindi,1959824,707,0
Male,Rural,Medium,OBC,Hindi,1625506,641,0
Male,Rural,Low,General,Hindi,1927145,617,1
Male,Rural,Low,OBC,Hindi,1571624,774,0
Male,Urban,High,General,English,236633,745,1
Female,Rural,High,General,English,1947268,774,1
Female,Remote,Low,SC,English,1769374,640,0
Female,Urban,Medium,General,Hindi,884874,708,0
Male,Rural,High,General,English,939493,752,0
Male,Rural,High,OBC,Hindi,446210,735,0
Male,Rural,High,OBC,Hindi,828799,728,1
Male,Remote,Medium,OBC,Regional,1486564,701,0
Male,Urban,Medium,General,English,1460295,689,0
Female,Urban,Low,General,English,838245,592,0
Female,Remote,Low,General,Regional,929459,734,0
Male,Remote,Medium,General,Hindi,134381,679,0
Female,Rural,Medium,OBC,English,1872744,714,0
Female,Urban,Low,SC,Regional,891708,601,0
Female,Rural,High,SC,Regional,1926251,653,1
Female,Urban,Medium,SC,Hindi,243984,760,0
Male,Urban,Medium,OBC,Hindi,1158848,786,0
Male,Remote,Medium,OBC,Regional,1594492,786,0
Male,Rural,Medium,OBC,Hindi,1795987,711,0
Female,Urban,Low,OBC,Hindi,1046358,602,0
Male,Urban,Low,OBC,Regional,788096,698,0
Male,Remote,Low,General,Hindi,303091,649,0
Male,Rural,Low,OBC,Hindi,902050,795,0
Male,Remote,Medium,ST,Hindi,314064,663,0
Female,Rural,Medium,General,Regional,1204697,680,1
Female,Remote,Low,General,Hindi,520435,663,0
Male,Remote,Medium,OBC,Hindi,651160,783,0
Male,Remote,Low,SC,Hindi,1966140,740,0
Male,Rural,High,OBC,English,314237,607,1
Male,Rural,High,OBC,Hindi,325049,715,0
Male,Remote,Low,General,Regional,696047,580,1
Male,Urban,Medium,OBC,Hindi,467567,744,0
Male,Rural,Low,OBC,English,1391701,642,0
Female,Rural,Medium,SC,Regional,1958911,601,0
Female,Rural,Medium,OBC,English,1955829,649,1
Male,Rural,Low,General,Regional,1469920,704,0
Male,Rural,Medium,General,English,132289,728,1
Female,Urban,Low,General,Hindi,690794,675,0
Male,Rural,Low,OBC,English,1701377,742,0
Female,Rural,Medium,General,Regional,1511666,658,0
Female,Remote,Low,OBC,Hindi,1804867,584,0
Male,Rural,Medium,OBC,English,1499466,639,1
Male,Rural,Medium,General,Hindi,1411236,699,0
Female,Urban,High,General,English,309480,625,0
Male,Urban,Low,General,English,1884907,757,0
Female,Rural,Medium,SC,Regional,1814622,755,0
Female,Rural,Medium,General,Hindi,1586643,713,0
Female,Urban,Low,OBC,Regional,1429932,796,0
Male,Remote,High,SC,Hindi,183498,635,0
Female,Urban,Medium,OBC,Hindi,1352600,689,1
Male,Urban,Medium,SC,English,1753834,766,1
Male,Urban,Medium,OBC,English,1188585,736,1
Female,Rural,High,ST,Regional,773858,778,0
Male,Rural,High,General,Regional,473159,683,1
Female,Rural,Medium,General,Hindi,771755,656,0
Female,Rural,Medium,OBC,Hindi,94816,725,0
Male,Rural,Low,ST,Hindi,54138,581,0
Male,Rural,Low,SC,Regional,1189752,587,0
Male,Remote,Medium,General,Hindi,1436665,654,1
Male,Remote,Low,General,Hindi,840449,761,0
Male,Urban,Medium,ST,Regional,846883,704,1
Female,Urban,Low,General,English,1816892,617,0
Male,Rural,Low,SC,English,406007,755,0
Male,Urban,Medium,SC,Hindi,846710,606,1
Female,Urban,High,OBC,Regional,271552,599,0
Male,Rural,Low,OBC,English,93764,719,0
Female,Remote,Medium,OBC,Hindi,173030,622,0
Male,Urban,High,General,Hindi,968638,768,1
Male,Rural,Low,SC,Hindi,1947951,610,0
Female,Urban,High,OBC,Hindi,1718531,670,0
Female,Remote,Low,SC,Hindi,366462,640,0
Female,Remote,Low,General,Hindi,939855,781,1
Female,Urban,High,ST,Hindi,1464718,774,0
Female,Rural,Low,OBC,Hindi,110128,688,0
Male,Urban,Medium,General,Hindi,269128,670,1
Male,Urban,High,General,Regional,858301,742,1
Female,Rural,Low,SC,English,1332116,674,0
Female,Remote,Medium,OBC,Regional,55039,722,0
Female,Urban,High,SC,Regional,202353,723,0
Male,Remote,Low,General,Hindi,162935,592,0
Male,Urban,High,General,Hindi,1633306,692,0
Female,Urban,Medium,OBC,Hindi,1958796,614,0
Male,Rural,Medium,OBC,English,1388306,782,0
Female,Urban,Medium,OBC,Hindi,103053,766,0
Female,Remote,Low,ST,English,1280137,728,0
Male,Urban,High,ST,Hindi,1837040,761,1
Female,Urban,High,ST,Regional,136346,782,1
Female,Rural,Medium,SC,Hindi,379231,737,0
Male,Rural,Medium,OBC,Regional,455841,627,1
Female,Urban,Medium,OBC,Hindi,608685,614,0
Male,Urban,Medium,OBC,Regional,1419391,665,0
Female,Rural,Medium,SC,Hindi,166214,745,0
Male,Urban,Medium,General,English,535001,738,1
Female,Urban,Medium,OBC,Hindi,903329,785,0
Male,Rural,Medium,General,English,1780085,731,1
Male,Urban,Medium,OBC,Hindi,1037410,693,1
Female,Rural,Low,SC,Regional,1497075,756,0
Male,Urban,Low,SC,English,450826,679,0
Male,Rural,Medium,General,Hindi,486542,739,1
Female,Rural,Medium,ST,Regional,1375644,762,0
Female,Rural,Medium,OBC,Regional,687431,786,0
Female,Rural,Medium,General,Hindi,422397,765,0
Female,Rural,Medium,General,Hindi,412441,678,0
Male,Urban,Medium,General,Hindi,1885877,582,1
Male,Rural,Low,General,Hindi,933520,787,1
Male,Remote,Medium,ST,Regional,1886022,776,0
Female,Urban,Medium,OBC,Regional,584391,664,0
Female,Urban,High,SC,Regional,1574314,704,0
Female,Remote,Medium,OBC,Regional,1995325,717,0
Female,Rural,Low,General,English,476674,662,0
Male,Urban,Low,OBC,Regional,1058109,604,0
Male,Rural,Low,General,Regional,132409,647,1
Male,Urban,Medium,OBC,English,1121824,640,0
Male,Remote,Low,ST,Regional,1580952,608,0
Male,Urban,Medium,OBC,Hindi,748876,706,0
Female,Urban,Medium,OBC,Hindi,1778106,598,1
Male,Rural,Low,General,Regional,1106600,750,1
Male,Urban,Medium,General,Hindi,525430,773,1
Male,Urban,Low,General,English,1333440,653,0
Female,Rural,Medium,OBC,Hindi,1970955,640,0
Female,Rural,Low,General,Hindi,1273451,750,0
Male,Remote,High,OBC,Regional,986800,732,0
Male,Urban,Low,OBC,Hindi,1452549,599,0
Female,Urban,High,OBC,Hindi,1977716,627,0
Male,Remote,Medium,General,Regional,1971672,790,0
Female,Rural,High,General,Hindi,1510049,666,0
Female,Rural,Medium,ST,Hindi,1242503,731,0
Male,Rural,Medium,OBC,Hindi,1183754,718,1
Male,Remote,Medium,OBC,Regional,1097380,689,0
Female,Urban,Medium,General,Hindi,937553,762,0
Male,Remote,Medium,ST,Hindi,1615116,607,0
Male,Remote,Medium,OBC,English,856457,776,1
Female,Rural,Medium,OBC,English,1496250,770,1
Female,Urban,Low,SC,English,1162186,638,0
Female,Urban,Low,General,English,1693707,712,1
Female,Rural,Medium,OBC,Hindi,681525,630,0
Male,Urban,Medium,OBC,Regional,1575753,728,1
Male,Urban,Medium,General,Hindi,1803767,591,0
Female,Rural,Medium,ST,Regional,748787,629,0
Female,Urban,High,SC,Regional,1585601,711,1
Male,Urban,Low,OBC,Regional,1753163,692,0
Female,Rural,Low,General,Hindi,1530298,749,0
Male,Rural,Low,General,Hindi,1104244,791,0
Male,Urban,Medium,OBC,Hindi,1321118,745,0
Male,Remote,High,SC,English,228267,732,0
Male,Rural,Low,General,Hindi,1958241,593,0
Male,Urban,Medium,OBC,Regional,205489,782,0
Male,Urban,Medium,SC,Regional,394126,611,0
Male,Rural,Medium,General,English,1728997,718,1
Female,Urban,Medium,OBC,Hindi,1895759,768,0
Female,Rural,Low,General,Regional,358362,725,0
Female,Urban,Medium,ST,English,963081,734,1
Female,Rural,Medium,OBC,Hindi,1892360,634,0
Male,Urban,Low,General,Regional,1832988,761,0
Male,Remote,Medium,OBC,Hindi,1187411,789,0
Female,Urban,Low,OBC,English,1720357,699,0
Male,Urban,Medium,SC,Hindi,865359,794,1
Female,Rural,Medium,SC,Regional,1795030,654,0
Male,Rural,Medium,OBC,Hindi,151948,600,0
Female,Remote,Medium,General,English,1283770,751,0
Male,Urban,Low,General,Hindi,1652357,712,0
Female,Remote,Medium,General,Hindi,1565331,666,0
Male,Rural,Low,OBC,Hindi,343851,748,0
Female,Rural,Low,SC,Regional,1822750,638,0
Male,Urban,High,OBC,English,1236944,668,1
Female,Rural,Low,General,Regional,1255046,761,0
Female,Urban,Medium,OBC,English,347986,781,1
Male,Rural,Medium,SC,Hindi,63261,729,0
Female,Rural,Low,SC,English,1175285,662,0
Female,Rural,Low,SC,Hindi,1718849,644,0
Male,Rural,Low,General,Hindi,418760,643,0
Female,Remote,High,General,Hindi,903605,650,0
Female,Remote,Medium,SC,English,1392501,583,0
Female,Urban,Low,OBC,Hindi,325796,772,0
Male,Urban,Medium,OBC,English,1365823,722,1
Male,Urban,Medium,SC,Regional,1386220,683,0
Female,Remote,Low,SC,Regional,820692,783,0
Female,Rural,Medium,OBC,Hindi,1723200,729,0
Male,Remote,Medium,OBC,Hindi,478745,793,0
Female,Rural,High,OBC,Hindi,687787,754,1
Male,Rural,Low,OBC,English,723812,788,0
Male,Remote,Low,OBC,Hindi,885825,672,0
Male,Rural,Low,SC,Regional,1522966,753,0
Male,Urban,Medium,SC,Hindi,1556242,721,0
Female,Urban,Low,SC,English,740796,757,0
Male,Urban,Medium,General,Regional,1408126,727,0
Female,Remote,Medium,SC,Hindi,375203,757,0
Female,Rural,Medium,SC,Regional,1769890,691,0
